"도시별","지출목적별","시점","소비자물가지수[기준년도 2020년]",
"전국","02 주류 및 담배","2014 년","64.413",
"전국","02 주류 및 담배","2015 년","96.674",
"전국","02 주류 및 담배","2016 년","97.338",
"전국","02 주류 및 담배","2017 년","98.805",
"전국","02 주류 및 담배","2018 년","99.063",
"전국","02 주류 및 담배","2019 년","99.682",
"전국","02 주류 및 담배","2020 년","100",
"전국","02 주류 및 담배","2021 년","100.43",
"전국","02 주류 및 담배","2022 년","102.62",
"전국","02 주류 및 담배","2023 년","103.63",
"전국","03 의류 및 신발","1985 년","32.936",
"전국","03 의류 및 신발","1986 년","33.699",
"전국","03 의류 및 신발","1987 년","34.89",
"전국","03 의류 및 신발","1988 년","37.67",
"전국","03 의류 및 신발","1989 년","42.61",
"전국","03 의류 및 신발","1990 년","46.772",
"전국","03 의류 및 신발","1991 년","49.376",
"전국","03 의류 및 신발","1992 년","52.435",
"전국","03 의류 및 신발","1993 년","54.185",
"전국","03 의류 및 신발","1994 년","55.494",
"전국","03 의류 및 신발","1995 년","56.425",
"전국","03 의류 및 신발","1996 년","57.093",
"전국","03 의류 및 신발","1997 년","58.048",
"전국","03 의류 및 신발","1998 년","60.371",
"전국","03 의류 및 신발","1999 년","61.405",
"전국","03 의류 및 신발","2000 년","62.318",
"전국","03 의류 및 신발","2001 년","64.161",
"전국","03 의류 및 신발","2002 년","66.165",
"전국","03 의류 및 신발","2003 년","68.497",
"전국","03 의류 및 신발","2004 년","68.716",
"전국","03 의류 및 신발","2005 년","69.406",
"전국","03 의류 및 신발","2006 년","71.262",
"전국","03 의류 및 신발","2007 년","73.165",
"전국","03 의류 및 신발","2008 년","75.039",
"전국","03 의류 및 신발","2009 년","78.839",
"전국","03 의류 및 신발","2010 년","81.153",
"전국","03 의류 및 신발","2011 년","83.852",
"전국","03 의류 및 신발","2012 년","87.862",
"전국","03 의류 및 신발","2013 년","90.431",
"전국","03 의류 및 신발","2014 년","94.06",
"전국","03 의류 및 신발","2015 년","95.317",
"전국","03 의류 및 신발","2016 년","97.029",
"전국","03 의류 및 신발","2017 년","98.082",
"전국","03 의류 및 신발","2018 년","99.169",
"전국","03 의류 및 신발","2019 년","99.27",
"전국","03 의류 및 신발","2020 년","100",
"전국","03 의류 및 신발","2021 년","100.56",
"전국","03 의류 및 신발","2022 년","103.71",
"전국","03 의류 및 신발","2023 년","110.66",
"전국","04 주택, 수도, 전기 및 연료","1985 년","31.233",
"전국","04 주택, 수도, 전기 및 연료","1986 년","32.05",
"전국","04 주택, 수도, 전기 및 연료","1987 년","32.831",
"전국","04 주택, 수도, 전기 및 연료","1988 년","34.008",
"전국","04 주택, 수도, 전기 및 연료","1989 년","35.431",
"전국","04 주택, 수도, 전기 및 연료","1990 년","38.163",
"전국","04 주택, 수도, 전기 및 연료","1991 년","42.434",
"전국","04 주택, 수도, 전기 및 연료","1992 년","45.461",
"전국","04 주택, 수도, 전기 및 연료","1993 년","47.894",
"전국","04 주택, 수도, 전기 및 연료","1994 년","49.844",
"전국","04 주택, 수도, 전기 및 연료","1995 년","51.961",
"전국","04 주택, 수도, 전기 및 연료","1996 년","54.438",
"전국","04 주택, 수도, 전기 및 연료","1997 년","57.201",
"전국","04 주택, 수도, 전기 및 연료","1998 년","61.379",
"전국","04 주택, 수도, 전기 및 연료","1999 년","59.517",
"전국","04 주택, 수도, 전기 및 연료","2000 년","61.707",
"전국","04 주택, 수도, 전기 및 연료","2001 년","65.378",
"전국","04 주택, 수도, 전기 및 연료","2002 년","67.172",
"전국","04 주택, 수도, 전기 및 연료","2003 년","70.024",
"전국","04 주택, 수도, 전기 및 연료","2004 년","72.302",
"전국","04 주택, 수도, 전기 및 연료","2005 년","73.678",
"전국","04 주택, 수도, 전기 및 연료","2006 년","75.791",
"전국","04 주택, 수도, 전기 및 연료","2007 년","77.485",
"전국","04 주택, 수도, 전기 및 연료","2008 년","80.85",
"전국","04 주택, 수도, 전기 및 연료","2009 년","81.753",
"전국","04 주택, 수도, 전기 및 연료","2010 년","83.695",
"전국","04 주택, 수도, 전기 및 연료","2011 년","87.475",
"전국","04 주택, 수도, 전기 및 연료","2012 년","91.499",
"전국","04 주택, 수도, 전기 및 연료","2013 년","94.735",
"전국","04 주택, 수도, 전기 및 연료","2014 년","97.451",
"전국","04 주택, 수도, 전기 및 연료","2015 년","96.827",
"전국","04 주택, 수도, 전기 및 연료","2016 년","96.038",
"전국","04 주택, 수도, 전기 및 연료","2017 년","97.666",
"전국","04 주택, 수도, 전기 및 연료","2018 년","98.354",
"전국","04 주택, 수도, 전기 및 연료","2019 년","99.488",
"전국","04 주택, 수도, 전기 및 연료","2020 년","100",
"전국","04 주택, 수도, 전기 및 연료","2021 년","101.63",
"전국","04 주택, 수도, 전기 및 연료","2022 년","107.19",
"전국","04 주택, 수도, 전기 및 연료","2023 년","112.6",
"전국","05 가정용품 및 가사 서비스","1985 년","44.31",
"전국","05 가정용품 및 가사 서비스","1986 년","45.395",
"전국","05 가정용품 및 가사 서비스","1987 년","46.891",
"전국","05 가정용품 및 가사 서비스","1988 년","49.642",
"전국","05 가정용품 및 가사 서비스","1989 년","53.007",
"전국","05 가정용품 및 가사 서비스","1990 년","56.264",
"전국","05 가정용품 및 가사 서비스","1991 년","59.372",
"전국","05 가정용품 및 가사 서비스","1992 년","61.318",
"전국","05 가정용품 및 가사 서비스","1993 년","63.283",
"전국","05 가정용품 및 가사 서비스","1994 년","65.491",
"전국","05 가정용품 및 가사 서비스","1995 년","66.74",
"전국","05 가정용품 및 가사 서비스","1996 년","68.03",
"전국","05 가정용품 및 가사 서비스","1997 년","68.291",
"전국","05 가정용품 및 가사 서비스","1998 년","72.25",
"전국","05 가정용품 및 가사 서비스","1999 년","71.333",
"전국","05 가정용품 및 가사 서비스","2000 년","69.548",
"전국","05 가정용품 및 가사 서비스","2001 년","70.852",
"전국","05 가정용품 및 가사 서비스","2002 년","71.531",
"전국","05 가정용품 및 가사 서비스","2003 년","72.985",
"전국","05 가정용품 및 가사 서비스","2004 년","73.518",
"전국","05 가정용품 및 가사 서비스","2005 년","73.941",
"전국","05 가정용품 및 가사 서비스","2006 년","74.095",
"전국","05 가정용품 및 가사 서비스","2007 년","76.03",
"전국","05 가정용품 및 가사 서비스","2008 년","79.376",
